Donor	Sample	Species	Assay	Consortium	EpiRR Record
S00M48	ERS441521	human	H3K27ac	Blueprint	IHECRE00002695
S00M80	ERS487319	human	H3K27ac	Blueprint	IHECRE00002492
S00MBV	ERS487328	human	H3K27ac	Blueprint	IHECRE00002347
S00N52	ERS487350	human	H3K27ac	Blueprint	IHECRE00002566
S00N7Z	ERS487362	human	H3K27ac	Blueprint	IHECRE00002239
S00NBR	ERS487377	human	H3K27ac	Blueprint	IHECRE00002425
S00NHF	ERS487393	human	H3K27ac	Blueprint	IHECRE00002679
S00NQY	ERS487406	human	H3K27ac	Blueprint	IHECRE00002583
S00NRW	ERS487415	human	H3K27ac	Blueprint	IHECRE00002270
S00NUQ	ERS487425	human	H3K27ac	Blueprint	IHECRE00002249
S00NVO	ERS487436	human	H3K27ac	Blueprint	IHECRE00002562
S00NWM	ERS487447	human	H3K27ac	Blueprint	IHECRE00002543
S00NXK	ERS487458	human	H3K27ac	Blueprint	IHECRE00002608
S00P04	ERS487469	human	H3K27ac	Blueprint	IHECRE00002709
S00P20	ERS487481	human	H3K27ac	Blueprint	IHECRE00002420
S00P4X	ERS487488	human	H3K27ac	Blueprint	IHECRE00002363
S00P8P	ERS487508	human	H3K27ac	Blueprint	IHECRE00002469
S00PBJ	ERS487514	human	H3K27ac	Blueprint	IHECRE00002215
S00PCH	ERS487525	human	H3K27ac	Blueprint	IHECRE00002460
S00PDF	ERS487536	human	H3K27ac	Blueprint	IHECRE00002591
S00PED	ERS487546	human	H3K27ac	Blueprint	IHECRE00002602
S00PK1	ERS487554	human	H3K27ac	Blueprint	IHECRE00002725
S00PQQ	ERS487563	human	H3K27ac	Blueprint	IHECRE00002724
S00PVG	ERS487571	human	H3K27ac	Blueprint	IHECRE00002187
S00PWE	ERS487578	human	H3K27ac	Blueprint	IHECRE00002235
S00PYA	ERS487591	human	H3K27ac	Blueprint	IHECRE00002631
S00Q4T	ERS487622	human	H3K27ac	Blueprint	IHECRE00002651
S00Q5R	ERS487633	human	H3K27ac	Blueprint	IHECRE00002573
S00Q6P	ERS487643	human	H3K27ac	Blueprint	IHECRE00002223
S00QE9	ERS487657	human	H3K27ac	Blueprint	IHECRE00002350
S00QPO	ERS487673	human	H3K27ac	Blueprint	IHECRE00002590
S00QQM	ERS487687	human	H3K27ac	Blueprint	IHECRE00002267
S00QRK	ERS487696	human	H3K27ac	Blueprint	IHECRE00002421
S00QTG	ERS487707	human	H3K27ac	Blueprint	IHECRE00002491
S00QUE	ERS487717	human	H3K27ac	Blueprint	IHECRE00002579
S00QWA	ERS523639	human	H3K27ac	Blueprint	IHECRE00002292
S00R0X	ERS523660	human	H3K27ac	Blueprint	IHECRE00002509
S00R1V	ERS523671	human	H3K27ac	Blueprint	IHECRE00002635
