Donor	Sample	Species	Assay	Consortium	EpiRRRecord
S00NHF	ERS487395	human	H3K27ac	Blueprint	IHECRE00002625
S00NQY	ERS487404	human	H3K27ac	Blueprint	IHECRE00002206
S00NRW	ERS487416	human	H3K27ac	Blueprint	IHECRE00002282
S00NWM	ERS487449	human	H3K27ac	Blueprint	IHECRE00002549
S00NXK	ERS487460	human	H3K27ac	Blueprint	IHECRE00002674
S00P04	ERS487471	human	H3K27ac	Blueprint	IHECRE00002281
S00P20	ERS487483	human	H3K27ac	Blueprint	IHECRE00002634
S00P4X	ERS487490	human	H3K27ac	Blueprint	IHECRE00002339
S00P8P	ERS487509	human	H3K27ac	Blueprint	IHECRE00002409
S00PBJ	ERS487516	human	H3K27ac	Blueprint	IHECRE00002304
S00PCH	ERS487527	human	H3K27ac	Blueprint	IHECRE00002699
S00PDF	ERS487538	human	H3K27ac	Blueprint	IHECRE00002476
S00PED	ERS487548	human	H3K27ac	Blueprint	IHECRE00002358
S00PK1	ERS487553	human	H3K27ac	Blueprint	IHECRE00002340
S00PQQ	ERS487565	human	H3K27ac	Blueprint	IHECRE00002644
S00PVG	ERS487573	human	H3K27ac	Blueprint	IHECRE00002584
S00PWE	ERS487580	human	H3K27ac	Blueprint	IHECRE00002479
S00PYA	ERS487590	human	H3K27ac	Blueprint	IHECRE00002633
S00Q4T	ERS487624	human	H3K27ac	Blueprint	IHECRE00002351
S00Q5R	ERS487635	human	H3K27ac	Blueprint	IHECRE00002330
S00Q6P	ERS487645	human	H3K27ac	Blueprint	IHECRE00002539
S00QE9	ERS487659	human	H3K27ac	Blueprint	IHECRE00002361
S00QPO	ERS487674	human	H3K27ac	Blueprint	IHECRE00002279
S00QQM	ERS487685	human	H3K27ac	Blueprint	IHECRE00002664
S00QRK	ERS487697	human	H3K27ac	Blueprint	IHECRE00002313
S00QTG	ERS487709	human	H3K27ac	Blueprint	IHECRE00002362
S00QUE	ERS487718	human	H3K27ac	Blueprint	IHECRE00002238
S00QWA	ERS523641	human	H3K27ac	Blueprint	IHECRE00002278
S00R0X	ERS523661	human	H3K27ac	Blueprint	IHECRE00002458
S00R1V	ERS523673	human	H3K27ac	Blueprint	IHECRE00002174
S00R9F	ERS523684	human	H3K27ac	Blueprint	IHECRE00002572
S00RAD	ERS523694	human	H3K27ac	Blueprint	IHECRE00002275
S00RC9	ERS523717	human	H3K27ac	Blueprint	IHECRE00002405
S00RD7	ERS523727	human	H3K27ac	Blueprint	IHECRE00002367
S00RMQ	ERS523737	human	H3K27ac	Blueprint	IHECRE00002396
S00S2P	ERS523749	human	H3K27ac	Blueprint	IHECRE00002342
S00S4L	ERS523760	human	H3K27ac	Blueprint	IHECRE00002433
S00S6H	ERS523770	human	H3K27ac	Blueprint	IHECRE00002477
S00S7F	ERS523782	human	H3K27ac	Blueprint	IHECRE00002426
S00SE1	ERS523792	human	H3K27ac	Blueprint	IHECRE00002585
S00SHW	ERS523806	human	H3K27ac	Blueprint	IHECRE00002457
S00SJS	ERS523815	human	H3K27ac	Blueprint	IHECRE00002233
S00SMM	ERS523827	human	H3K27ac	Blueprint	IHECRE00002370
S00SPG	ERS523838	human	H3K27ac	Blueprint	IHECRE00002456
S00SV4	ERS523847	human	H3K27ac	Blueprint	IHECRE00002320
S00SX0	ERS523857	human	H3K27ac	Blueprint	IHECRE00002600
S00SYZ	ERS523869	human	H3K27ac	Blueprint	IHECRE00002581
S00T4H	ERS642889	human	H3K27ac	Blueprint	IHECRE00002202
S00T5F	ERS642900	human	H3K27ac	Blueprint	IHECRE00002316
S00T6D	ERS642912	human	H3K27ac	Blueprint	IHECRE00002332
S00TA5	ERS642924	human	H3K27ac	Blueprint	IHECRE00002448
S00TT4	ERS642935	human	H3K27ac	Blueprint	IHECRE00002597
