Donor	Sample	Species	Assay	Consortium	EpiRR Record
S00WTT	ERS643159	human	H3K27ac	Blueprint	IHECRE00002488
S00XGE	ERS643187	human	H3K27ac	Blueprint	IHECRE00002317
S00XK6	ERS643211	human	H3K27ac	Blueprint	IHECRE00002538
S00XRT	ERS643229	human	H3K27ac	Blueprint	IHECRE00002162
S00YEE	ERS643267	human	H3K27ac	Blueprint	IHECRE00002623
S00YH8	ERS643288	human	H3K27ac	Blueprint	IHECRE00002531
S00YK2	ERS643300	human	H3K27ac	Blueprint	IHECRE00002307
S00YRP	ERS643315	human	H3K27ac	Blueprint	IHECRE00002428
S00YVH	ERS643330	human	H3K27ac	Blueprint	IHECRE00002333
S0100M	ERS643346	human	H3K27ac	Blueprint	IHECRE00002366
S010MF	ERS643374	human	H3K27ac	Blueprint	IHECRE00002395
S010VY	ERS643400	human	H3K27ac	Blueprint	IHECRE00002630
S011DT	ERS643419	human	H3K27ac	Blueprint	IHECRE00002394
S011ER	ERS643426	human	H3K27ac	Blueprint	IHECRE00002687
S011HL	ERS643434	human	H3K27ac	Blueprint	IHECRE00002685
S011JH	ERS643440	human	H3K27ac	Blueprint	IHECRE00002615
S01238	ERS643461	human	H3K27ac	Blueprint	IHECRE00002716
S01246	ERS643472	human	H3K27ac	Blueprint	IHECRE00002199
S0130A	ERS696965	human	H3K27ac	Blueprint	IHECRE00002240
S01342	ERS696980	human	H3K27ac	Blueprint	IHECRE00002510
S0137X	ERS696994	human	H3K27ac	Blueprint	IHECRE00002237
S013CN	ERS697007	human	H3K27ac	Blueprint	IHECRE00002424
S013DL	ERS697020	human	H3K27ac	Blueprint	IHECRE00002197
S003R1	ERS227743	human	H3K27ac	Blueprint	IHECRE00002497
S0041C	ERS257203	human	H3K27ac	Blueprint	IHECRE00002533
S005WK	ERS257331	human	H3K27ac	Blueprint	IHECRE00002400
S006XE	ERS257390	human	H3K27ac	Blueprint	IHECRE00002381
S00D9Y	ERS377481	human	H3K27ac	Blueprint	IHECRE00002258
S00DP2	ERS377520	human	H3K27ac	Blueprint	IHECRE00002675
S00FUL	ERS422248	human	H3K27ac	Blueprint	IHECRE00002544
S00G5U	ERS422271	human	H3K27ac	Blueprint	IHECRE00002613
S00G7Q	ERS422281	human	H3K27ac	Blueprint	IHECRE00002226
S00G9M	ERS422284	human	H3K27ac	Blueprint	IHECRE00002646
S00H5Q	ERS422345	human	H3K27ac	Blueprint	IHECRE00002473
S00J5I	ERS433828	human	H3K27ac	Blueprint	IHECRE00002387
S00JD2	ERS433865	human	H3K27ac	Blueprint	IHECRE00002697
S00JT7	ERS433869	human	H3K27ac	Blueprint	IHECRE00002241
S00JU5	ERS433880	human	H3K27ac	Blueprint	IHECRE00002410
S00JYY	ERS433899	human	H3K27ac	Blueprint	IHECRE00002181
S00K0O	ERS433911	human	H3K27ac	Blueprint	IHECRE00002287
S00NQY	ERS487405	human	H3K27ac	Blueprint	IHECRE00002380
S00PBJ	ERS487515	human	H3K27ac	Blueprint	IHECRE00002352
S00PED	ERS487547	human	H3K27ac	Blueprint	IHECRE00002708
S00PK1	ERS487555	human	H3K27ac	Blueprint	IHECRE00002232
S00Q5R	ERS487634	human	H3K27ac	Blueprint	IHECRE00002447
S00QQM	ERS487686	human	H3K27ac	Blueprint	IHECRE00002236
S00RAD	ERS523693	human	H3K27ac	Blueprint	IHECRE00002513
S00RBB	ERS523705	human	H3K27ac	Blueprint	IHECRE00002253
S00RC9	ERS523716	human	H3K27ac	Blueprint	IHECRE00002180
S00SMM	ERS523826	human	H3K27ac	Blueprint	IHECRE00002665
S00U1J	ERS642946	human	H3K27ac	Blueprint	IHECRE00002322
S00VGM	ERS643061	human	H3K27ac	Blueprint	IHECRE00002227
S00W45	ERS643096	human	H3K27ac	Blueprint	IHECRE00002480
S00WP0	ERS643122	human	H3K27ac	Blueprint	IHECRE00002463
S00WQZ	ERS643134	human	H3K27ac	Blueprint	IHECRE00002356
S00XHC	ERS643199	human	H3K27ac	Blueprint	IHECRE00002298
S00YCI	ERS643255	human	H3K27ac	Blueprint	IHECRE00002161
S010P9	ERS643386	human	H3K27ac	Blueprint	IHECRE00002318
S011AZ	ERS643409	human	H3K27ac	Blueprint	IHECRE00002412
