Donor	Sample	Species	Assay	Consortium	EpiRR Record
S00JA8	ERS433857	human	H3K4me1	Blueprint	IHECRE00002639	Metadata
S00NBR	ERS487377	human	H3K4me1	Blueprint	IHECRE00002425	Metadata
S00PK1	ERS487554	human	H3K4me1	Blueprint	IHECRE00002725	Metadata
S010B0	ERS643359	human	H3K4me1	Blueprint	IHECRE00002527	Metadata
S00G5U	ERS422273	human	H3K4me1	Blueprint	IHECRE00002703	Metadata
S00RAD	ERS523695	human	H3K4me1	Blueprint	IHECRE00002683	Metadata
S00HVB	ERS433817	human	H3K4me1	Blueprint	IHECRE00002231	Metadata
S00SE1	ERS523790	human	H3K4me1	Blueprint	IHECRE00002338	Metadata
S00U77	ERS642973	human	H3K4me1	Blueprint	IHECRE00002672	Metadata
S00GWD	ERS422330	human	H3K4me1	Blueprint	IHECRE00002216	Metadata
S00JT7	ERS433875	human	H3K4me1	Blueprint	IHECRE00002515	Metadata
S00Q6P	ERS487643	human	H3K4me1	Blueprint	IHECRE00002223	Metadata
S00QQM	ERS487687	human	H3K4me1	Blueprint	IHECRE00002267	Metadata
S00WQZ	ERS643133	human	H3K4me1	Blueprint	IHECRE00002524	Metadata
S00P20	ERS487481	human	H3K4me1	Blueprint	IHECRE00002420	Metadata
S00R0X	ERS523660	human	H3K4me1	Blueprint	IHECRE00002509	Metadata
S00QPO	ERS487673	human	H3K4me1	Blueprint	IHECRE00002590	Metadata
S00S4L	ERS523758	human	H3K4me1	Blueprint	IHECRE00002485	Metadata
S00S7F	ERS523780	human	H3K4me1	Blueprint	IHECRE00002465	Metadata
S00R9F	ERS523682	human	H3K4me1	Blueprint	IHECRE00002499	Metadata
S00YK2	ERS643299	human	H3K4me1	Blueprint	IHECRE00002164	Metadata
S00FK4	ERS422229	human	H3K4me1	Blueprint	IHECRE00002474	Metadata
S00N52	ERS487350	human	H3K4me1	Blueprint	IHECRE00002566	Metadata
S00WP0	ERS643121	human	H3K4me1	Blueprint	IHECRE00002594	Metadata
S00JD2	ERS433867	human	H3K4me1	Blueprint	IHECRE00002442	Metadata
S00QWA	ERS523639	human	H3K4me1	Blueprint	IHECRE00002292	Metadata
S00K0O	ERS433914	human	H3K4me1	Blueprint	IHECRE00002546	Metadata
S00HE8	ERS422356	human	H3K4me1	Blueprint	IHECRE00002314	Metadata
S00FUL	ERS422253	human	H3K4me1	Blueprint	IHECRE00002660	Metadata
S00M0G	ERS441493	human	H3K4me1	Blueprint	IHECRE00002404	Metadata
S00NXK	ERS487458	human	H3K4me1	Blueprint	IHECRE00002608	Metadata
S00PCH	ERS487525	human	H3K4me1	Blueprint	IHECRE00002460	Metadata
S00QRK	ERS487696	human	H3K4me1	Blueprint	IHECRE00002421	Metadata
S00S2P	ERS523747	human	H3K4me1	Blueprint	IHECRE00002522	Metadata
S00MBV	ERS487328	human	H3K4me1	Blueprint	IHECRE00002347	Metadata
S00PYA	ERS487591	human	H3K4me1	Blueprint	IHECRE00002631	Metadata
S00RC9	ERS523715	human	H3K4me1	Blueprint	IHECRE00002331	Metadata
S00M48	ERS441521	human	H3K4me1	Blueprint	IHECRE00002695	Metadata
S00SJS	ERS523816	human	H3K4me1	Blueprint	IHECRE00002640	Metadata
S00D9Y	ERS377479	human	H3K4me1	Blueprint	IHECRE00002721	Metadata
S00YRP	ERS643314	human	H3K4me1	Blueprint	IHECRE00002503	Metadata
S00PQQ	ERS487563	human	H3K4me1	Blueprint	IHECRE00002724	Metadata
S00Q5R	ERS487633	human	H3K4me1	Blueprint	IHECRE00002573	Metadata
S00XHC	ERS643198	human	H3K4me1	Blueprint	IHECRE00002218	Metadata
S00SMM	ERS523825	human	H3K4me1	Blueprint	IHECRE00002693	Metadata
S00SX0	ERS523856	human	H3K4me1	Blueprint	IHECRE00002486	Metadata
S00GEC	ERS422309	human	H3K4me1	Blueprint	IHECRE00002254	Metadata
S00KHR	ERS433957	human	H3K4me1	Blueprint	IHECRE00002525	Metadata
S00RMQ	ERS523738	human	H3K4me1	Blueprint	IHECRE00002303	Metadata
S00NWM	ERS487447	human	H3K4me1	Blueprint	IHECRE00002543	Metadata
S00VVT	ERS643070	human	H3K4me1	Blueprint	IHECRE00002599	Metadata
S00YH8	ERS643287	human	H3K4me1	Blueprint	IHECRE00002418	Metadata
S00FVJ	ERS422263	human	H3K4me1	Blueprint	IHECRE00002293	Metadata
S00UME	ERS643013	human	H3K4me1	Blueprint	IHECRE00002242	Metadata
S00WTT	ERS643158	human	H3K4me1	Blueprint	IHECRE00002506	Metadata
S00TT4	ERS642934	human	H3K4me1	Blueprint	IHECRE00002379	Metadata
S00T6D	ERS642910	human	H3K4me1	Blueprint	IHECRE00002289	Metadata
S00G9M	ERS422287	human	H3K4me1	Blueprint	IHECRE00002482	Metadata
S00DKC	ERS377518	human	H3K4me1	Blueprint	IHECRE00002315	Metadata
S00NVO	ERS487436	human	H3K4me1	Blueprint	IHECRE00002562	Metadata
S00PDF	ERS487536	human	H3K4me1	Blueprint	IHECRE00002591	Metadata
S00T5F	ERS642899	human	H3K4me1	Blueprint	IHECRE00002349	Metadata
S00RD7	ERS523726	human	H3K4me1	Blueprint	IHECRE00002686	Metadata
S00JYY	ERS433902	human	H3K4me1	Blueprint	IHECRE00002454	Metadata
S00NHF	ERS487393	human	H3K4me1	Blueprint	IHECRE00002679	Metadata
