Donor	Sample	Species	Assay	Consortium	EpiRR Record
S00J9A	ERS433842	human	H3K4me1	Blueprint	IHECRE00002391
S00GWD	ERS422335	human	H3K4me1	Blueprint	IHECRE00002263
S003R1	ERS227743	human	H3K4me1	Blueprint	IHECRE00002497
S00KHR	ERS433953	human	H3K4me1	Blueprint	IHECRE00002276
S001GV	ERS214785	human	H3K4me1	Blueprint	IHECRE00002452
S0100M	ERS643346	human	H3K4me1	Blueprint	IHECRE00002366
S00V57	ERS643035	human	H3K4me1	Blueprint	IHECRE00002487
S01246	ERS643472	human	H3K4me1	Blueprint	IHECRE00002199
S00TA5	ERS642923	human	H3K4me1	Blueprint	IHECRE00002661
S00JT7	ERS433869	human	H3K4me1	Blueprint	IHECRE00002241
S00WRX	ERS643146	human	H3K4me1	Blueprint	IHECRE00002185
S00G7Q	ERS422281	human	H3K4me1	Blueprint	IHECRE00002226
S00HE8	ERS422362	human	H3K4me1	Blueprint	IHECRE00002201
S00PCH	ERS487526	human	H3K4me1	Blueprint	IHECRE00002297
S000GZ	ERS208278	human	H3K4me1	Blueprint	IHECRE00002203
S00GSL	ERS422327	human	H3K4me1	Blueprint	IHECRE00002698
S00W29	ERS643085	human	H3K4me1	Blueprint	IHECRE00002182
S011DT	ERS643419	human	H3K4me1	Blueprint	IHECRE00002394
S00WKA	ERS643109	human	H3K4me1	Blueprint	IHECRE00002359
S00MBV	ERS487329	human	H3K4me1	Blueprint	IHECRE00002555
S011AZ	ERS643409	human	H3K4me1	Blueprint	IHECRE00002412
S00KEX	ERS433934	human	H3K4me1	Blueprint	IHECRE00002300
